GEO,LEG_FORM,INDIC_SB,NACE_R2\TIME	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Cyprus,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-7.18	-22.20	-4.84	1.49	-1.60	1.22	:
Latvia,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	12.04	3.91	-1.77	-1.87	-3.47	0.08	23.08
Lithuania,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-24.81	-4.70	12.36	17.22	14.69	13.83	6.09
Luxembourg,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.30	1.93	-0.13	-1.00	4.65	-1.16	-0.24
Hungary,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-8.18	-1.94	-5.86	-14.97	-0.39	5.05	5.17
Malta,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	-1.16	-8.04	-3.11	3.30 b	-1.62
Netherlands,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	-1.28	6.10	3.73	1.15	3.57	5.19
Austria,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	2.51	26.48 b	3.38	2.51	2.14	1.07	-0.05	-2.94 b	-4.06	-2.94 p
Poland,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.10	2.54	0.88	-0.27	0.48	-0.04	1.09
Portugal,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	1.59	5.58	1.71 b	-5.46	-6.95	-5.10	-6.06	-3.10	-0.29	3.56
Romania,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	6.99	18.11	2.07	-1.87
Slovenia,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	6.42	4.24	6.33	5.13	2.22	0.57	1.18	6.52	1.81	3.34
Slovakia,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.93	-3.35	9.52	-3.01	-4.28	10.92	-3.52
Finland,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-0.36	-0.65	0.78	-1.43	-0.15 b	-1.72	-2.65
Sweden,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.66	1.47	5.66	0.98	-4.37	-1.79	-0.77
United Kingdom,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-3.36	-5.75	-1.30	-3.26	-1.15	-2.86	-5.13
Norway,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-3.94	-1.04	-0.08	-1.18	-2.02	-1.72	1.92
Switzerland,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	2.40 dp	-1.74
Former Yugoslav Republic of Macedonia, the,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	18.37	-13.77	10.25	-7.40	1.37	2.07
Turkey,Sole proprietorship,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	1.72	1.13	-0.34	1.01
European Union (aggregate changing according to the context),Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	11.85 b	12.10 b	12.99	13.17	13.40	14.14	14.28	14.27 p
Bulgaria,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	31.89	23.62	20.43	24.30	20.85	16.94	16.86 p	33.96 p
Czech Republic,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	11.35	20.09	21.43	20.60	19.42	17.52	19.50 p	16.99 ep
Denmark,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	25.37	25.48	26.15	26.20	25.71	26.69 p	:
Germany (until 1990 former territory of the FRG),Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	18.79	18.66	19.17	18.20	17.07	16.82	16.43 p
Estonia,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	63.19	39.47	24.64	20.33	12.83	18.31 b	17.36	22.02 p
Ireland,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.63	20.97	15.35	18.04 ep	19.58 e	:	16.70 bep	8.35 ep
Greece,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	12.60 p
Spain,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	19.46	20.11	21.06	22.12	22.22	22.75	22.92	21.88 ep
France,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	21.27	28.55	26.35	22.36	20.02	19.06 b	20.64	18.93
Croatia,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	22.59	17.23	17.34	14.78 p
Italy,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	15.45	15.14	14.86	15.53	16.18	17.28	18.76 p	18.94 ep
Cyprus,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	3.51	8.64	10.84	15.08	12.93	16.64	19.45 p	:
Latvia,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	36.45	48.01	39.96	36.30	32.19	29.73	30.28	34.70 ep
Lithuania,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	67.86	52.14	57.19	57.05	55.84	52.06	59.20 p	29.06 ep
Luxembourg,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	18.00	17.44	20.16	21.65	20.61	23.11	24.21	24.03 p
Hungary,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	23.29	19.62	24.48	30.49	24.35	24.80	27.31 p	26.76 ep
Malta,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	10.05	15.87	15.58	15.49	20.33 b	9.70 p
Netherlands,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	27.62 b	:	23.78	21.75	22.57	22.81	20.49	18.55	17.81 p
Austria,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	13.42	13.96 b	14.70	14.84	15.66	16.03	15.29	14.29 b	13.74 p	13.66 p
Poland,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	22.97	24.39	25.22	24.38	23.25	24.10	24.43 p	: p
Portugal,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	30.76	34.91	37.10 b	35.23	34.54	35.94	36.30	36.21	38.97 p	40.85 ep
Romania,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	47.25 b	30.03	37.70	9.39 p	22.94 ep
Slovenia,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	21.04	22.13	21.99	21.49	22.26	27.19	22.26	23.72 p
Slovakia,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	29.72 p	27.06	18.63	24.95	20.63	24.09	37.59 p	21.36 ep
Finland,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	24.77	23.50	24.06	:	16.08 b	18.36 b	19.41	16.34 p
Sweden,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.51	18.06	17.84	17.00	20.12	18.52	17.47	17.21 p
United Kingdom,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	22.33	23.01	21.76	21.43	23.33	26.65	25.90	25.81 p
Norway,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	23.71	19.85	19.55	17.44	17.02	19.98	20.85 p	19.53 p
Switzerland,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	25.51	31.23	28.26	27.13	25.77 p
Turkey,Sole proprietorship,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	22.80	:	:	27.18	26.93	24.54	: p
European Union (aggregate changing according to the context),Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.04 b	5.42 b	5.72	5.63	5.50	6.40	5.93	6.01 p
Bulgaria,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	19.00	12.95	13.45	18.63	13.54	11.85	11.92 p	29.46 p
Czech Republic,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.80	9.03	9.73	10.03	10.80	9.38	9.96 p	8.49 ep
Denmark,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	15.03	13.45	12.54	13.95	13.62	14.77 p	:
Germany (until 1990 former territory of the FRG),Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	10.18	9.66	9.72	9.74	9.45	9.32	8.88 p
Estonia,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	23.57	29.90	15.97	12.29	5.27	11.00 b	7.50	12.58 p
Ireland,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	12.67	13.42	9.68	11.82 p	12.56	:	9.14 bp	0.90 p
Greece,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	7.19 p
Spain,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.36	11.57	11.49	12.23	11.92	12.77	10.24	9.78 ep
France,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.63	9.90	8.76	8.24	6.98	7.17 b	7.90	7.18
Croatia,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	13.02	9.24	12.87	9.04 p
Italy,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.03	7.06	7.78	8.04	8.06	9.29	10.38 p	10.61 ep
Cyprus,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	1.93	4.69	7.77	10.81	8.57	9.12	: p	:
Latvia,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	21.04	21.01	19.34	19.58	18.08	17.56	15.32	6.04 ep
Lithuania,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	42.72	33.16	26.55	22.52	21.78	20.12	26.76 p	4.74 ep
Luxembourg,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.68	8.61	10.60	10.66	10.25	10.91	12.56	11.65 p
Hungary,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	13.73	11.48	14.49	21.12	15.16	11.17	12.01 p	10.79 ep
Malta,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	3.65	12.85	9.83	9.54	9.48 b	2.95 p
Netherlands,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	7.71	:	8.76	8.19	8.83	10.53	8.56	6.68	6.53 p
Austria,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	5.81	5.56 b	6.03	6.53	7.16	7.86	7.44	6.89 b	6.61 p	6.72 p
Poland,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.42	11.09	11.02	11.84	11.72	11.84	12.14 p	: p
Portugal,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	14.25	16.32	19.30 b	20.42	19.86	20.69	20.59	17.95	20.43 p	20.54 ep
Romania,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	29.94 b	16.92	15.58	3.79 p	11.23 ep
Slovenia,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.08	9.03	10.15	9.84	10.95	10.32	9.36	10.68 p
Slovakia,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	15.60 p	12.87	7.64	13.14	10.43	15.84	14.90 p	10.86 ep
Finland,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.18	11.55	11.75	:	4.83 b	10.21 b	10.31	8.16 p
Sweden,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.25	8.44	8.42	7.31	11.97	9.83	8.82	8.90 p
United Kingdom,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.24	13.02	12.44	11.15	13.47	12.39	13.77	14.24 p
Norway,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.50	9.83	9.45	6.47	6.57	9.31	10.09 p	6.78 p
Switzerland,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	13.48	24.80	9.84	9.82	13.73	12.35	11.61 p
Turkey,Sole proprietorship,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	11.46	:	:	12.82	13.51	11.66	: p
European Union (aggregate changing according to the context),Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.72 b	4.29 b	4.57	4.59	4.51	5.20	4.90	: p
Bulgaria,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	13.37	8.64	10.46	11.68	8.55	7.23	7.78 p	: p
Czech Republic,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	6.56	7.02	7.96	8.35	9.02	7.94	7.98 p	: p
Denmark,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	8.96	8.31	8.02	9.15	8.33 p	: p	:
Germany (until 1990 former territory of the FRG),Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: e	4.82 e	4.52 e	4.40 e	4.41 e	4.38 e	3.53 e	: p
Estonia,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: c	28.86	15.23	11.85	4.95	10.50 b	7.04	: p
Ireland,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	7.32	8.74	6.51	7.82 p	7.97	:	7.42 bp	: p
Greece,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	: p
Spain,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	11.04	10.65	10.57	10.70	10.75	11.47	9.43	: p
France,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	9.31	8.79	7.87	7.43	6.28	6.14 b	6.83	6.37
Croatia,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	7.46	5.73	8.78	: p
Italy,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	6.32	5.67	5.42	5.75	5.85	6.69	7.45 p	: p
Cyprus,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.94	: c	6.23	8.82	7.03	3.93	: p	:
Latvia,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	15.90	17.29	15.59	17.50	14.26	14.29	12.01	: p
Lithuania,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	25.01	: c	: c	: c	15.61	: c	21.16 p	: p
Luxembourg,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	5.88	5.57	6.64	6.55	6.22	6.87	7.56	: p
Hungary,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	10.63	9.15	11.26	16.03	11.55	8.70	9.18 p	: p
Malta,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	3.45	8.17	7.18	7.38	8.45 b	: p
Netherlands,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	3.44	2.96	3.17	2.82	2.97	3.62	3.63	2.95	: p
Austria,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	3.32	3.94 b	4.23	4.50	4.74	5.16	4.82	4.10 b	3.91 p	: p
Poland,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	5.94	6.80	6.60	7.40	7.06	7.09	7.06 p	: p
Portugal,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: c	14.99	: bc	: c	18.09	19.08	19.12	: c	: cp	: p
Romania,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	27.59 b	16.10	14.96	3.61 p	: p
Slovenia,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.90	5.74	: c	6.19	7.13	6.71	5.87	: p
Slovakia,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	10.16 p	10.32	7.15	10.15	8.34	12.55	12.27 p	: p
Finland,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.27	3.26	2.74	:	2.82 b	8.20 b	8.21	: p
Sweden,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	6.85	7.87	7.87	6.96	10.97	9.20	8.36	: p
United Kingdom,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	9.63	10.75	10.12	8.78	10.89	10.11	10.70	: p
Norway,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.56	3.73	3.43	2.23	2.34	3.41	3.32 p	: p
Switzerland,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	: p	: p	: p	: p
Turkey,Sole proprietorship,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	11.36	:	:	10.42	12.08	9.42	: p
European Union (aggregate changing according to the context),Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	25.42 b	4.75	6.13	5.87	3.67	4.34	4.87
Bulgaria,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	17.20	-3.82	-3.18	3.44	3.38	1.14	-0.07
Czech Republic,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-0.60	0.13	-1.67	-0.34	-1.15	0.45	-7.15
Denmark,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-18.05	-1.67	0.05	-1.95	-3.42	-2.31	:
Germany (until 1990 former territory of the FRG),Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.16	2.39	-1.11	-2.46	0.46	-12.55	-1.11
Estonia,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.66	12.60	1.36	-13.59	-0.93 b	0.79	2.65
Ireland,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	5.30	3.88	1.48	-0.89	:	:	-0.27
Greece,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	-0.12 p
Spain,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.15	-1.87	0.22	-0.78	-3.31	2.17	-1.16
France,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.08	6.20	2.37	7.52	-89.67 b	0.78	-0.32
Croatia,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	-14.98	-21.93	-3.81
Italy,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.27	-0.76	-0.88	-1.53	-1.73	-4.15	-3.04
Cyprus,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-11.05	-10.75	-9.07	8.26	-5.07	-21.62	:
Latvia,Partnership, co-operatives, associations, etc.,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-33.96	8.31	-3.12	2.89	2.00	1.34	58.49
